name,owner,language,stars,forks,watchers,open_issues,created_date,updated_date,license
turicreate,apple,C++,11160,1118,11160,522,2017-12-01,2026-08-18,"BSD 3-Clause ""New"" or ""Revised"" License"
amazon-sagemaker-examples,aws,Jupyter Notebook,10977,6960,10977,849,2017-10-23,2026-08-18,Apache License 2.0
A-Curated-List-of-ML-System-Design-Case-Studies,Engineer1999,Unknown,10943,1679,10943,7,2024-05-18,2026-08-18,No License
dolly,databrickslabs,Python,10805,1141,10805,6,2023-03-24,2026-08-16,Apache License 2.0
doccano,doccano,Python,10743,1824,10743,396,2018-05-09,2026-08-18,MIT License
mlcourse.ai,Yorko,Python,10688,5701,10688,4,2017-02-27,2026-08-18,Other
machine-learning-systems-design,chiphuyen,HTML,10526,1631,10526,11,2019-11-24,2026-08-18,No License
Machine-Learning,Jack-Cherish,Python,10370,5065,10370,7,2017-03-25,2026-08-18,No License
machine-learning-notes,roboticcam,Jupyter Notebook,10331,1824,10331,28,2018-02-15,2026-08-18,No License
3D-Machine-Learning,timzhang642,Unknown,10193,1797,10193,21,2017-08-12,2026-08-18,No License
tpot,EpistasisLab,Jupyter Notebook,10051,1563,10051,312,2015-11-03,2026-08-18,GNU Lesser General Public License v3.0
sktime,sktime,Python,9937,2296,9937,2407,2018-11-06,2026-08-18,"BSD 3-Clause ""New"" or ""Revised"" License"
Stock-Prediction-Models,huseinzol05,Jupyter Notebook,9484,3049,9484,47,2017-12-18,2026-08-18,Apache License 2.0
cog,replicate,Go,9458,694,9458,68,2021-02-26,2026-08-18,Apache License 2.0
golearn,sjwhitworth,Go,9438,1165,9438,89,2013-12-26,2026-08-17,MIT License
machinelearning,dotnet,C#,9347,1950,9347,1008,2018-05-03,2026-08-16,MIT License
AIMLInterviews,alirezadir,Jupyter Notebook,9293,1631,9293,11,2021-01-31,2026-08-18,MIT License
awesome-ml-for-cybersecurity,jivoi,Unknown,9291,1940,9291,33,2016-12-20,2026-08-18,Other
awesome-project-ideas,NirantK,Unknown,9268,1291,9268,7,2017-08-19,2026-08-17,MIT License
catboost,catboost,C++,9069,1317,9069,709,2017-07-18,2026-08-18,Apache License 2.0
machine_learning_examples,lazyprogrammer,Python,8911,6404,8911,33,2014-07-31,2026-08-18,No License
state-of-the-art-result-for-machine-learning-problems,RedditSota,Unknown,8895,1294,8895,14,2017-11-09,2026-08-17,Apache License 2.0
pattern,clips,Python,8860,1558,8860,179,2011-05-03,2026-08-18,"BSD 3-Clause ""New"" or ""Revised"" License"
financial-machine-learning,firmai,Python,8749,1409,8749,15,2019-03-21,2026-08-18,No License
machinelearning,ljpzzz,Jupyter Notebook,8706,3687,8706,17,2016-05-12,2026-08-17,MIT License
vowpal_wabbit,VowpalWabbit,C++,8705,1925,8705,3,2009-07-31,2026-08-18,Other
MachineLearning_Python,lawlite19,Python,8580,2515,8580,10,2016-10-17,2026-08-18,MIT License
Machine-Learning-Collection,aladdinpersson,Python,8485,2787,8485,119,2020-03-26,2026-08-17,MIT License
approachingalmost,abhishekkrthakur,Unknown,8372,1122,8372,54,2020-07-04,2026-08-18,No License
introduction_to_ml_with_python,amueller,Jupyter Notebook,8147,4671,8147,28,2016-05-29,2026-08-17,No License
auto-sklearn,automl,Python,8126,1325,8126,208,2015-07-02,2026-08-17,"BSD 3-Clause ""New"" or ""Revised"" License"
machine-learning-cheat-sheet,soulmachine,TeX,8043,1332,8043,11,2013-05-09,2026-08-17,No License
cortex,cortexlabs,Go,8010,593,8010,131,2019-01-24,2026-08-14,Apache License 2.0
machine-learning-roadmap,mrdbourke,Unknown,7893,1168,7893,12,2020-07-09,2026-08-15,MIT License
machine-learning-yearning-cn,deeplearning-ai,CSS,7844,1501,7844,4,2018-06-19,2026-08-18,Other
Machine-Learning-Specialization-Coursera,greyhatguy007,Jupyter Notebook,7777,3726,7777,26,2022-06-16,2026-08-18,MIT License
Machine-learning-learning-notes,Vay-keen,Unknown,7762,1878,7762,28,2018-03-24,2026-08-18,No License
awesome-youtubers,JoseDeFreitas,Markdown,7691,493,7691,2,2020-08-25,2026-08-17,Creative Commons Zero v1.0 Universal
Learn_Machine_Learning_in_3_Months,llSourcell,Unknown,7607,2310,7607,19,2018-03-02,2026-08-16,No License
h2o-3,h2oai,Jupyter Notebook,7493,2027,7493,2882,2014-03-03,2026-08-18,Apache License 2.0
industry-machine-learning,firmai,Jupyter Notebook,7485,1249,7485,3,2019-05-03,2026-08-17,No License
